"id","Category_id","Supplier_id","Name","image","Unit_id","Subunit_id","Contains","subunit_replenish_qty","Buying_price","Discount","Price","Opening_stock","Quantity","Restock_Level","Created_at","Updated_at"
83,4,3,"Chuck Kilogram(s)","1646930506.png",10,1,0,0,400,0,500,0,0,2,"2022-03-10 10:41:46","2022-09-01 01:46:28"
84,1,1,"Chicken Legs Kg(s)","1646931217.png",10,1,0,0,30,0,100,1,0,1,"2022-03-10 10:53:37","2022-09-01 01:46:24"
85,3,7,"Tumeric Pieces","1646932952.png",13,1,0,0,5,0,10,200,0,10,"2022-03-10 11:22:32","2023-02-04 06:37:42"
86,6,7,"Pineapple Pieces","1647087642.png",13,1,0,0,50,0,80,4,0,1,"2022-03-12 06:20:42","2022-03-17 06:38:28"
87,3,7,"Carrots Bundle(s)","1647088475.png",14,1,0,0,10,0,20,15,16,0,"2022-03-12 06:34:35","2023-06-13 12:48:20"
88,7,1,"Ugali Chicken Fish","1647170364.png",1,1,0,0,1200,0,1637,1,0,1,"2022-03-13 06:19:24","2023-01-15 09:52:48"
89,1,1,"Chicken Necks Kilogram(s)","1647252355.png",10,1,0,0,50,0,150,1,0,1,"2022-03-14 05:05:55","2023-01-10 14:36:26"
90,6,7,"Lemon (Small) Piece(s)","1647253852.png",13,1,0,0,5,0,10,16,31.0333,2,"2022-03-14 05:30:52","2023-06-13 13:08:42"
91,4,3,"Steak Kilogram(s)","1647609220.png",10,1,0,0,500,0,700,0,12.2902,1,"2022-03-18 08:13:40","2023-06-13 13:00:27"
92,6,7,"Avocado (Big) Pieces","1647691112.png",13,1,0,0,20,0,30,5,7,1,"2022-03-19 06:58:32","2022-12-26 05:55:40"
94,7,1,"Ugali Piece(s)","1648289682.png",13,1,0,0,20,0,50,8,0,1,"2022-03-26 05:14:42","2022-06-05 06:41:10"
95,6,1,"Avocado (Small) Pcs","1648391566.png",13,1,0,0,15,0,30,12,6,2,"2022-03-27 09:32:46","2022-11-04 10:56:26"
96,1,1,"Chicken Capon Small","1648544036.png",13,1,0,0,297,0,450,41,0,1,"2022-03-29 03:53:56","2022-09-01 01:43:37"
